"Province.State","Country.Region","Lat","Long","date","num"
"Anhui","Mainland China",31.82571,117.2264,"1.22.2020",1
"Anhui","Mainland China",31.82571,117.2264,"1.23.2020",9
"Anhui","Mainland China",31.82571,117.2264,"1.24.2020",15
"Anhui","Mainland China",31.82571,117.2264,"1.25.2020",39
"Anhui","Mainland China",31.82571,117.2264,"1.26.2020",60
"Anhui","Mainland China",31.82571,117.2264,"1.27.2020",70
"Anhui","Mainland China",31.82571,117.2264,"1.28.2020",106
"Anhui","Mainland China",31.82571,117.2264,"1.29.2020",152
"Anhui","Mainland China",31.82571,117.2264,"1.30.2020",200
"Anhui","Mainland China",31.82571,117.2264,"1.31.2020",237
"Anhui","Mainland China",31.82571,117.2264,"2.1.2020",297
"Anhui","Mainland China",31.82571,117.2264,"2.2.2020",340
"Anhui","Mainland China",31.82571,117.2264,"2.3.2020",408
"Anhui","Mainland China",31.82571,117.2264,"2.4.2020",480
"Anhui","Mainland China",31.82571,117.2264,"2.5.2020",530
"Anhui","Mainland China",31.82571,117.2264,"2.6.2020",591
"Anhui","Mainland China",31.82571,117.2264,"2.7.2020",665
"Anhui","Mainland China",31.82571,117.2264,"2.8.2020",733
"Anhui","Mainland China",31.82571,117.2264,"2.9.2020",779
"Anhui","Mainland China",31.82571,117.2264,"2.10.2020",830
"Anhui","Mainland China",31.82571,117.2264,"2.11.2020",860
"Anhui","Mainland China",31.82571,117.2264,"2.12.2020",889
"Anhui","Mainland China",31.82571,117.2264,"2.13.2020",910
"Anhui","Mainland China",31.82571,117.2264,"2.14.2020",934
"Anhui","Mainland China",31.82571,117.2264,"2.15.2020",950
"Anhui","Mainland China",31.82571,117.2264,"2.16.2020",962
"Anhui","Mainland China",31.82571,117.2264,"2.17.2020",973
"Anhui","Mainland China",31.82571,117.2264,"2.18.2020",982
"Anhui","Mainland China",31.82571,117.2264,"2.19.2020",986
"Anhui","Mainland China",31.82571,117.2264,"2.20.2020",987
"Anhui","Mainland China",31.82571,117.2264,"2.21.2020",988
"Anhui","Mainland China",31.82571,117.2264,"2.22.2020",989
"Anhui","Mainland China",31.82571,117.2264,"2.23.2020",989
"Anhui","Mainland China",31.82571,117.2264,"2.24.2020",989
"Anhui","Mainland China",31.82571,117.2264,"2.25.2020",989
"Anhui","Mainland China",31.82571,117.2264,"2.26.2020",989
"Beijing","Mainland China",40.18238,116.4142,"1.22.2020",14
"Beijing","Mainland China",40.18238,116.4142,"1.23.2020",22
"Beijing","Mainland China",40.18238,116.4142,"1.24.2020",36
"Beijing","Mainland China",40.18238,116.4142,"1.25.2020",41
"Beijing","Mainland China",40.18238,116.4142,"1.26.2020",68
"Beijing","Mainland China",40.18238,116.4142,"1.27.2020",80
"Beijing","Mainland China",40.18238,116.4142,"1.28.2020",91
"Beijing","Mainland China",40.18238,116.4142,"1.29.2020",111
"Beijing","Mainland China",40.18238,116.4142,"1.30.2020",114
"Beijing","Mainland China",40.18238,116.4142,"1.31.2020",139
"Beijing","Mainland China",40.18238,116.4142,"2.1.2020",168
"Beijing","Mainland China",40.18238,116.4142,"2.2.2020",191
"Beijing","Mainland China",40.18238,116.4142,"2.3.2020",212
"Beijing","Mainland China",40.18238,116.4142,"2.4.2020",228
"Beijing","Mainland China",40.18238,116.4142,"2.5.2020",253
"Beijing","Mainland China",40.18238,116.4142,"2.6.2020",274
"Beijing","Mainland China",40.18238,116.4142,"2.7.2020",297
"Beijing","Mainland China",40.18238,116.4142,"2.8.2020",315
"Beijing","Mainland China",40.18238,116.4142,"2.9.2020",326
"Beijing","Mainland China",40.18238,116.4142,"2.10.2020",337
"Beijing","Mainland China",40.18238,116.4142,"2.11.2020",342
"Beijing","Mainland China",40.18238,116.4142,"2.12.2020",352
"Beijing","Mainland China",40.18238,116.4142,"2.13.2020",366
"Beijing","Mainland China",40.18238,116.4142,"2.14.2020",372
"Beijing","Mainland China",40.18238,116.4142,"2.15.2020",375
"Beijing","Mainland China",40.18238,116.4142,"2.16.2020",380
"Beijing","Mainland China",40.18238,116.4142,"2.17.2020",381
"Beijing","Mainland China",40.18238,116.4142,"2.18.2020",387
"Beijing","Mainland China",40.18238,116.4142,"2.19.2020",393
"Beijing","Mainland China",40.18238,116.4142,"2.20.2020",395
"Beijing","Mainland China",40.18238,116.4142,"2.21.2020",396
"Beijing","Mainland China",40.18238,116.4142,"2.22.2020",399
"Beijing","Mainland China",40.18238,116.4142,"2.23.2020",399
"Beijing","Mainland China",40.18238,116.4142,"2.24.2020",399
"Beijing","Mainland China",40.18238,116.4142,"2.25.2020",400
"Beijing","Mainland China",40.18238,116.4142,"2.26.2020",400
"Chongqing","Mainland China",30.05718,107.874,"1.22.2020",6
"Chongqing","Mainland China",30.05718,107.874,"1.23.2020",9
"Chongqing","Mainland China",30.05718,107.874,"1.24.2020",27
"Chongqing","Mainland China",30.05718,107.874,"1.25.2020",57
"Chongqing","Mainland China",30.05718,107.874,"1.26.2020",75
"Chongqing","Mainland China",30.05718,107.874,"1.27.2020",110
"Chongqing","Mainland China",30.05718,107.874,"1.28.2020",132
"Chongqing","Mainland China",30.05718,107.874,"1.29.2020",147
"Chongqing","Mainland China",30.05718,107.874,"1.30.2020",182
"Chongqing","Mainland China",30.05718,107.874,"1.31.2020",211
"Chongqing","Mainland China",30.05718,107.874,"2.1.2020",247
"Chongqing","Mainland China",30.05718,107.874,"2.2.2020",300
"Chongqing","Mainland China",30.05718,107.874,"2.3.2020",337
"Chongqing","Mainland China",30.05718,107.874,"2.4.2020",366
"Chongqing","Mainland China",30.05718,107.874,"2.5.2020",389
"Chongqing","Mainland China",30.05718,107.874,"2.6.2020",411
"Chongqing","Mainland China",30.05718,107.874,"2.7.2020",426
"Chongqing","Mainland China",30.05718,107.874,"2.8.2020",428
"Chongqing","Mainland China",30.05718,107.874,"2.9.2020",468
"Chongqing","Mainland China",30.05718,107.874,"2.10.2020",486
"Chongqing","Mainland China",30.05718,107.874,"2.11.2020",505
"Chongqing","Mainland China",30.05718,107.874,"2.12.2020",518
"Chongqing","Mainland China",30.05718,107.874,"2.13.2020",529
"Chongqing","Mainland China",30.05718,107.874,"2.14.2020",537
"Chongqing","Mainland China",30.05718,107.874,"2.15.2020",544
"Chongqing","Mainland China",30.05718,107.874,"2.16.2020",551
"Chongqing","Mainland China",30.05718,107.874,"2.17.2020",553
"Chongqing","Mainland China",30.05718,107.874,"2.18.2020",555
"Chongqing","Mainland China",30.05718,107.874,"2.19.2020",560
"Chongqing","Mainland China",30.05718,107.874,"2.20.2020",567
"Chongqing","Mainland China",30.05718,107.874,"2.21.2020",572
"Chongqing","Mainland China",30.05718,107.874,"2.22.2020",573
"Chongqing","Mainland China",30.05718,107.874,"2.23.2020",575
"Chongqing","Mainland China",30.05718,107.874,"2.24.2020",576
"Chongqing","Mainland China",30.05718,107.874,"2.25.2020",576
"Chongqing","Mainland China",30.05718,107.874,"2.26.2020",576
"Fujian","Mainland China",26.07783,117.9895,"1.22.2020",1
"Fujian","Mainland China",26.07783,117.9895,"1.23.2020",5
"Fujian","Mainland China",26.07783,117.9895,"1.24.2020",10
"Fujian","Mainland China",26.07783,117.9895,"1.25.2020",18
"Fujian","Mainland China",26.07783,117.9895,"1.26.2020",35
"Fujian","Mainland China",26.07783,117.9895,"1.27.2020",59
"Fujian","Mainland China",26.07783,117.9895,"1.28.2020",80
"Fujian","Mainland China",26.07783,117.9895,"1.29.2020",84
"Fujian","Mainland China",26.07783,117.9895,"1.30.2020",101
"Fujian","Mainland China",26.07783,117.9895,"1.31.2020",120
"Fujian","Mainland China",26.07783,117.9895,"2.1.2020",144
"Fujian","Mainland China",26.07783,117.9895,"2.2.2020",159
"Fujian","Mainland China",26.07783,117.9895,"2.3.2020",179
"Fujian","Mainland China",26.07783,117.9895,"2.4.2020",194
"Fujian","Mainland China",26.07783,117.9895,"2.5.2020",205
"Fujian","Mainland China",26.07783,117.9895,"2.6.2020",215
"Fujian","Mainland China",26.07783,117.9895,"2.7.2020",224
"Fujian","Mainland China",26.07783,117.9895,"2.8.2020",239
"Fujian","Mainland China",26.07783,117.9895,"2.9.2020",250
"Fujian","Mainland China",26.07783,117.9895,"2.10.2020",261
"Fujian","Mainland China",26.07783,117.9895,"2.11.2020",267
"Fujian","Mainland China",26.07783,117.9895,"2.12.2020",272
"Fujian","Mainland China",26.07783,117.9895,"2.13.2020",279
"Fujian","Mainland China",26.07783,117.9895,"2.14.2020",281
"Fujian","Mainland China",26.07783,117.9895,"2.15.2020",285
"Fujian","Mainland China",26.07783,117.9895,"2.16.2020",287
"Fujian","Mainland China",26.07783,117.9895,"2.17.2020",290
"Fujian","Mainland China",26.07783,117.9895,"2.18.2020",292
"Fujian","Mainland China",26.07783,117.9895,"2.19.2020",293
"Fujian","Mainland China",26.07783,117.9895,"2.20.2020",293
"Fujian","Mainland China",26.07783,117.9895,"2.21.2020",293
"Fujian","Mainland China",26.07783,117.9895,"2.22.2020",293
"Fujian","Mainland China",26.07783,117.9895,"2.23.2020",293
"Fujian","Mainland China",26.07783,117.9895,"2.24.2020",293
"Fujian","Mainland China",26.07783,117.9895,"2.25.2020",294
"Fujian","Mainland China",26.07783,117.9895,"2.26.2020",294
"Gansu","Mainland China",36.0611,103.8343,"1.22.2020",0
"Gansu","Mainland China",36.0611,103.8343,"1.23.2020",2
"Gansu","Mainland China",36.0611,103.8343,"1.24.2020",2
"Gansu","Mainland China",36.0611,103.8343,"1.25.2020",4
"Gansu","Mainland China",36.0611,103.8343,"1.26.2020",7
"Gansu","Mainland China",36.0611,103.8343,"1.27.2020",14
"Gansu","Mainland China",36.0611,103.8343,"1.28.2020",19
"Gansu","Mainland China",36.0611,103.8343,"1.29.2020",24
"Gansu","Mainland China",36.0611,103.8343,"1.30.2020",26
"Gansu","Mainland China",36.0611,103.8343,"1.31.2020",29
"Gansu","Mainland China",36.0611,103.8343,"2.1.2020",40
"Gansu","Mainland China",36.0611,103.8343,"2.2.2020",51
